Variant_ID;Console;Lens_ID;Name;Supplement;Image_URL
VAR_LENS_GBC_STD_BLACK_NOLOGO;GBC;LENS_GBC_STD_GLASS;Black (No Logo);0;/assets/images/lenses/VAR_LENS_GBC_STD_BLACK_NOLOGO.jpg
VAR_LENS_GBC_STD_BLACK;GBC;LENS_GBC_STD_GLASS;Black;0;/assets/images/lenses/VAR_LENS_GBC_STD_BLACK.jpg
VAR_LENS_GBC_STD_WHITE;GBC;LENS_GBC_STD_GLASS;White;0;/assets/images/lenses/VAR_LENS_GBC_STD_WHITE.jpg
VAR_LENS_GBC_STD_SAKURA;GBC;LENS_GBC_STD_GLASS;Sakura;0;/assets/images/lenses/VAR_LENS_GBC_STD_SAKURA.jpg
VAR_LENS_GBC_STD_SHINY;GBC;LENS_GBC_STD_GLASS;Shiny;0;/assets/images/lenses/VAR_LENS_GBC_STD_SHINY.jpg
VAR_LENS_GBC_STD_SILVER;GBC;LENS_GBC_STD_GLASS;Silver;0;/assets/images/lenses/VAR_LENS_GBC_STD_SILVER.jpg
VAR_LENS_GBC_STD_GREY;GBC;LENS_GBC_STD_GLASS;Grey;0;/assets/images/lenses/VAR_LENS_GBC_STD_GREY.jpg
VAR_LENS_GBC_STD_PINK;GBC;LENS_GBC_STD_GLASS;Pink;0;/assets/images/lenses/VAR_LENS_GBC_STD_PINK.jpg
VAR_LENS_GBC_STD_MARIO_LUIGI;GBC;LENS_GBC_STD_GLASS;Mario Luigi;0;/assets/images/lenses/VAR_LENS_GBC_STD_MARIO_LUIGI.jpg
VAR_LENS_GBC_STD_PIKA;GBC;LENS_GBC_STD_GLASS;Pikachu;0;/assets/images/lenses/VAR_LENS_GBC_STD_PIKA.jpg
VAR_LENS_GBC_STD_BLACK_PMG;GBC;LENS_GBC_STD_GLASS;Gen1 Black (Pokemon);0;/assets/images/lenses/VAR_LENS_GBC_STD_BLACK_PMG.jpg
VAR_LENS_GBC_STD_WHITE_PMG;GBC;LENS_GBC_STD_GLASS;Gen1 White (Pokemon);0;/assets/images/lenses/VAR_LENS_GBC_STD_WHITE_PMG.webp
VAR_LENS_GBC_STD_BLACK_3RD;GBC;LENS_GBC_STD_GLASS;Gen2 Black (Pokemon);0;/assets/images/lenses/VAR_LENS_GBC_STD_BLACK_3RD.jpg
VAR_LENS_GBC_STD_WHITE_3RD;GBC;LENS_GBC_STD_GLASS;Gen2 White (Pokemon);0;/assets/images/lenses/VAR_LENS_GBC_STD_WHITE_3RD.jpg
VAR_LENS_GBC_STD_HORROR;GBC;LENS_GBC_STD_GLASS;Horror;0;/assets/images/lenses/VAR_LENS_GBC_STD_HORROR.png
VAR_LENS_GBC_LRG_BLACK;GBC;LENS_GBC_LRG_GLASS;Black;0;/assets/images/lenses/VAR_LENS_GBC_LRG_BLACK.jpg
VAR_LENS_GBC_LRG_BLACK_NOLOGO;GBC;LENS_GBC_LRG_GLASS;Black (No Logo);0;/assets/images/lenses/VAR_LENS_GBC_LRG_BLACK_NOLOGO.jpg
VAR_LENS_GBC_LRG_BLUE;GBC;LENS_GBC_LRG_GLASS;Blue;0;/assets/images/lenses/VAR_LENS_GBC_LRG_BLUE.jpg
VAR_LENS_GBC_LRG_CLARET;GBC;LENS_GBC_LRG_GLASS;Claret;0;/assets/images/lenses/VAR_LENS_GBC_LRG_CLARET.jpg
VAR_LENS_GBC_LRG_GOLD;GBC;LENS_GBC_LRG_GLASS;Gold;0;/assets/images/lenses/VAR_LENS_GBC_LRG_GOLD.jpg
VAR_LENS_GBC_LRG_SILVER;GBC;LENS_GBC_LRG_GLASS;Silver;0;/assets/images/lenses/VAR_LENS_GBC_LRG_SILVER.jpg
VAR_LENS_GBC_LRG_WHITE;GBC;LENS_GBC_LRG_GLASS;White;0;/assets/images/lenses/VAR_LENS_GBC_LRG_WHITE.jpg
VAR_LENS_GBC_LRG_GREEN;GBC;LENS_GBC_LRG_GLASS;Green;0;/assets/images/lenses/VAR_LENS_GBC_LRG_GREEN.jpg
VAR_LENS_GBC_LRG_HORROR;GBC;LENS_GBC_LRG_GLASS;Horror;0;/assets/images/lenses/VAR_LENS_GBC_LRG_HORROR.jpg
VAR_LENS_GBC_LRG_PINK;GBC;LENS_GBC_LRG_GLASS;Pink;0;/assets/images/lenses/VAR_LENS_GBC_LRG_PINK.jpg
VAR_LENS_GBC_LRG_SHINY;GBC;LENS_GBC_LRG_GLASS;Shiny;0;/assets/images/lenses/VAR_LENS_GBC_LRG_SHINY.jpg
VAR_LENS_GBC_LRG_GREY;GBC;LENS_GBC_LRG_GLASS;Grey;0;/assets/images/lenses/VAR_LENS_GBC_LRG_GREY.jpg
