Variant_ID;Console;Screen_ID;Name;Supplement;Image_URL
VAR_SCR_GBC_FP_RP20_BLACK;GBC;SCR_GBC_FP_RP20;Black;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_BLACK.jpg
VAR_SCR_GBC_FP_RP20_WHITE;GBC;SCR_GBC_FP_RP20;White;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_WHITE.jpg
VAR_SCR_GBC_FP_RP20_GREY;GBC;SCR_GBC_FP_RP20;Grey;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_GREY.jpg
VAR_SCR_GBC_FP_RP20_BLUE;GBC;SCR_GBC_FP_RP20;Laminated Blue;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_BLUE.jpg
VAR_SCR_GBC_FP_RP20_YELLOW;GBC;SCR_GBC_FP_RP20;Laminated Yellow;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_YELLOW.jpg
VAR_SCR_GBC_FP_RP20_GREEN;GBC;SCR_GBC_FP_RP20;Laminated Green;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_GREEN.jpg
VAR_SCR_GBC_FP_RP20_RED;GBC;SCR_GBC_FP_RP20;Laminated Red;0;/assets/images/screens/VAR_SCR_GBC_FP_RP20_RED.jpg
VAR_SCR_GBC_HI_Q5L_BLACK;GBC;SCR_GBC_HI_Q5L;Black;0;/assets/images/screens/VAR_SCR_GBC_HI_Q5L_BLACK.jpg
VAR_SCR_GBC_HI_Q5L_WHITE;GBC;SCR_GBC_HI_Q5L;White;0;/assets/images/screens/VAR_SCR_GBC_HI_Q5L_WHITE.jpg
VAR_SCR_GBC_HI_245L_BLACK;GBC;SCR_GBC_HI_245L;Black;0;/assets/images/screens/VAR_SCR_GBC_HI_245L_BLACK.jpg
VAR_SCR_GBC_CGS_278_DARK_GRAY;GBC;SCR_GBC_CGS_278;Dark Gray;0;/assets/images/screens/VAR_SCR_GBC_CGS_278_DARK_GRAY.jpg
VAR_SCR_GBC_CGS_278_WHITE;GBC;SCR_GBC_CGS_278;White;0;/assets/images/screens/VAR_SCR_GBC_CGS_278_WHITE.jpg
VAR_SCR_GBC_CGS_278_BLACK_NOLOGO;GBC;SCR_GBC_CGS_278;Black (No Logo);0;/assets/images/screens/VAR_SCR_GBC_CGS_278_BLACK_NOLOGO.jpg
VAR_SCR_GBC_OEM_DEFAULT;GBC;SCR_GBC_OEM;Original;0;/assets/images/screens/VAR_SCR_GBC_OEM_DEFAULT.jpg
